id,name,slug,parent_id,parent_name,count,depth
2451,WTF,wtf,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
2452,WTH,wth,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
2453,WTI,wti,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
790,WTR,wtr,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
852,WW,ww,234,אביזרים וחלקי חילוף למכונות כביסה מילה,2,2
1442,WWA,wwa,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
967,WWB,wwb,234,אביזרים וחלקי חילוף למכונות כביסה מילה,3,2
473,WWD,wwd,234,אביזרים וחלקי חילוף למכונות כביסה מילה,8,2
1423,WWE,wwe,234,אביזרים וחלקי חילוף למכונות כביסה מילה,3,2
475,WWG,wwg,234,אביזרים וחלקי חילוף למכונות כביסה מילה,5,2
476,WWH,wwh,234,אביזרים וחלקי חילוף למכונות כביסה מילה,3,2
477,WWI,wwi,234,אביזרים וחלקי חילוף למכונות כביסה מילה,5,2
1422,WWR,wwr,234,אביזרים וחלקי חילוף למכונות כביסה מילה,3,2
1425,WWV,wwv,234,אביזרים וחלקי חילוף למכונות כביסה מילה,3,2
2450,WX,wx,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
483,WXD,wxd,234,אביזרים וחלקי חילוף למכונות כביסה מילה,3,2
484,WXF,wxf,234,אביזרים וחלקי חילוף למכונות כביסה מילה,3,2
485,WXH,wxh,234,אביזרים וחלקי חילוף למכונות כביסה מילה,2,2
486,WXI,wxi,234,אביזרים וחלקי חילוף למכונות כביסה מילה,3,2
487,WXR,wxr,234,אביזרים וחלקי חילוף למכונות כביסה מילה,3,2
1661,PD,pd,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
1525,PT5XXX,pt5xxx,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,3,2
1669,PT7XXX,pt7xxx,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,3,2
1670,PT9XXX,pt9xxx,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,2,2
268,T1,t1,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,10,2
587,T2XX,t2xx,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,3,2
267,T2XXX,t2xxx,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,3,2
978,T3XXX,t3xxx,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
2312,T4XX,t4xx,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
263,T4XXX,t4xxx,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,12,2
979,T5XXX,t5xxx,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
588,T6XX,t6xx,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
264,T7XXX,t7xxx,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,15,2
